CMD,DD_0,DD18,eFFP,EXT,MAR,MSP,PAS,PET,RH,TD
0,316,70,274,311,196,885,153,923.7476844,63,185
53,962,89,265,343,131,509,395,818.823357,60,273
0,1176,54,262,328,140,648,494,745.7335253,63,277
25,939,78,265,334,128,596,431,771.823464,61,266
46,938,136,269,354,132,550,251,841.3677668,61,283
22,1126,69,263,338,125,592,362,809.5383814,61,282
68,940,103,265,351,131,512,342,870.6646189,58,276
58,1069,82,262,348,125,538,433,815.6263568,57,281
14,598,71,267,325,156,590,232,885.3557754,62,227
81,646,155,268,358,135,568,226,914.4769553,59,255
80,677,142,267,356,135,569,247,908.5187126,59,256
0,459,132,269,344,146,669,167,941.2224503,58,227
97,707,144,270,353,140,506,224,904.3584971,61,261
0,1225,46,262,322,122,688,491,716.9374543,64,277
0,302,81,282,307,170,739,110,832.4419517,70,190
34,428,160,274,344,148,613,136,979.3859997,61,231
3,664,175,276,346,135,620,229,862.7201655,66,260
0,329,68,281,301,166,733,127,850.1697175,72,190
1,909,78,267,335,126,658,421,767.1353944,62,266
74,743,129,271,345,141,507,261,817.6020832,63,261
26,631,187,276,349,137,571,210,875.990657,66,259
66,648,162,270,355,137,575,236,902.8025406,61,257
13,639,185,276,349,136,601,211,874.1143396,66,259
0,281,131,282,320,171,706,76,943.8890405,68,199
0,597,55,265,317,151,661,262,901.6848649,61,219
0,965,62,267,328,154,673,421,740.5437683,65,264
9,276,87,272,320,158,701,97,900.7290967,59,188
4,935,54,264,327,140,607,431,711.3030024,62,256
26,859,75,263,340,119,581,359,789.0961729,58,257
0,1166,68,264,332,128,714,545,670.0199697,63,285
0,1143,44,261,325,138,629,553,742.6895537,61,268
0,1350,26,254,320,135,805,699,698.9541684,58,273
29,612,54,265,318,167,534,221,851.7291489,61,222
0,1383,51,258,337,121,589,471,723.17221,60,297
0,1245,33,260,316,132,584,454,687.0434936,63,270
1,1336,33,256,325,144,634,452,693.0811288,58,277
0,1217,55,264,326,138,784,603,714.8139445,64,283
0,1229,71,261,345,135,638,421,749.9346381,59,294
0,341,114,277,317,149,707,119,878.6428739,69,207
0,1192,35,261,315,141,683,672,662.2971734,64,266
0,259,117,283,317,175,714,79,921.2795874,67,192
26,766,64,272,326,130,520,337,724.6723267,67,245
35,813,91,271,331,138,529,317,768.722372,66,257
34,787,124,272,345,138,567,302,836.9587142,64,262
0,1124,41,259,325,122,631,505,759.4537539,60,264
50,1117,87,263,352,130,532,339,802.4796517,58,289
14,536,96,271,329,168,613,226,900.1294363,63,228
0,1013,104,266,345,129,626,351,803.009816,62,284
0,308,81,274,315,170,940,127,916.3859366,63,186
4,845,102,270,339,135,606,333,837.2359426,64,267
57,653,163,271,354,139,573,218,883.9887569,62,258
11,881,71,267,332,157,584,379,742.3456478,63,258
98,141,269,287,338,165,567,26,1036.878606,62,187
119,747,131,270,351,131,475,204,851.1285255,60,262
46,1178,59,261,337,139,546,353,707.9341912,59,279
135,508,224,276,363,135,502,135,937.5033787,62,251
36,432,226,279,353,135,577,141,965.5408476,63,241
45,523,86,267,334,152,566,175,900.1450091,59,223
88,462,198,278,348,137,503,133,935.1378489,66,242
67,455,199,278,349,139,532,143,953.7133963,63,239
38,546,88,272,323,150,504,182,883.5327718,66,228
0,471,115,269,339,144,659,160,951.142132,59,223
82,444,205,278,350,139,511,120,943.2539726,64,240
42,525,241,277,361,138,598,178,920.5944558,63,256
