cellindex,x,y,CMD,DD_0,DD18,eFFP,EXT,MAR,MSP,PAS,PET,RH,TD
108916,-74.20833334,49.95283134,16,2233,29,257,334,125,514,404,464.307373,60,356
109795,-74.95833334,49.91116468,23,2134,36,258,336,123,510,351,474.3986206,61,352
109967,-67.79166667,49.91116468,16,1981,15,250,314,117,488,535,469.5204773,59,315
112634,-68.79166667,49.78616468,35,1954,22,252,325,117,472,449,494.3995667,58,327
119730,-72.125,49.45283134,35,1926,44,259,343,121,488,338,510.5854797,60,346
119834,-67.79166667,49.45283134,36,1794,17,252,315,120,459,503,486.2124329,61,305
122492,-69.16666667,49.32783134,44,1869,31,254,331,123,474,435,504.8132019,60,330
125268,-65.625,49.20283134,12,1322,29,261,310,126,451,427,477.6742859,70,280
125272,-65.45833334,49.20283134,0,1490,19,258,303,125,481,515,450.5761108,70,281
126165,-65.625,49.16116468,0,1515,18,257,302,125,489,519,447.7902222,70,283
127042,-66.45833334,49.11949801,31,1167,42,266,313,125,426,313,497.641571,71,278
127052,-66.04166667,49.11949801,0,1517,20,258,304,132,492,496,452.111145,70,286
127054,-65.95833334,49.11949801,0,1671,14,255,300,127,517,568,431.9853516,69,288
127064,-65.54166667,49.11949801,5,1372,26,260,307,121,462,458,470.3840637,70,280
127791,-72.625,49.07783134,50,1880,55,260,347,119,476,314,521.4683228,61,347
127796,-72.41666667,49.07783134,55,1839,59,261,349,122,469,307,531.8264771,60,347
127797,-72.375,49.07783134,58,1827,61,261,350,122,466,304,532.2329102,60,347
127941,-66.375,49.07783134,6,1378,27,261,307,125,469,417,469.2475586,70,283
127942,-66.33333334,49.07783134,0,1491,21,258,304,123,489,475,457.6965942,70,286
127950,-66,49.07783134,0,1816,11,252,295,125,542,634,416.9575806,69,291
127956,-65.75,49.07783134,0,1665,14,255,299,126,517,580,432.2765198,69,287
127957,-65.70833334,49.07783134,0,1493,20,258,304,130,488,507,452.9563904,70,284
127960,-65.58333334,49.07783134,0,1456,22,259,306,121,481,496,458.2217407,70,282
127964,-65.41666667,49.07783134,11,1340,28,261,310,116,455,452,474.0740967,70,279
127984,-64.58333334,49.07783134,19,1211,32,263,315,125,437,431,496.4486694,69,272
128691,-72.5,49.03616468,59,1831,62,261,350,122,467,304,531.1664429,61,347
128832,-66.625,49.03616468,14,1275,31,263,309,127,455,386,480.9258423,71,278
128841,-66.25,49.03616468,0,1528,20,258,304,117,497,494,452.72052,70,288
128842,-66.20833334,49.03616468,0,1647,16,255,301,126,516,549,439.6157227,69,289
128846,-66.04166667,49.03616468,0,1631,16,256,301,118,512,549,440.4544983,69,289
128850,-65.875,49.03616468,0,1645,15,255,300,124,516,567,437.8231812,69,288
128851,-65.83333334,49.03616468,0,1755,12,253,296,134,535,618,423.6065063,69,289
128852,-65.79166667,49.03616468,0,1646,15,255,300,125,516,574,435.1942139,69,287
129598,-72.08333334,48.99449801,54,1789,58,261,347,123,464,307,537.7807617,60,342
129726,-66.75,48.99449801,9,1357,27,261,309,122,468,421,477.8602295,70,281
129731,-66.54166667,48.99449801,2,1442,23,260,306,123,482,450,466.2621155,70,285
129733,-66.45833334,48.99449801,19,1250,35,264,311,115,448,359,486.4090881,70,280
129736,-66.33333334,48.99449801,1,1443,23,259,307,113,484,453,465.0735779,70,285
129750,-65.75,48.99449801,0,1490,21,258,305,122,490,506,454.2678528,70,284
129753,-65.625,48.99449801,4,1392,26,260,309,120,472,469,469.4117737,70,281
129755,-65.54166667,48.99449801,3,1412,25,259,308,124,475,483,466.7649841,70,282
129770,-64.91666667,48.99449801,1,1430,21,258,306,126,480,531,461.9000244,70,278
130481,-72.66666667,48.95283134,64,1814,64,261,350,123,467,306,536.3043823,60,346
130539,-70.25,48.95283134,3,1998,26,253,326,123,548,484,479.2168274,61,333
130620,-66.875,48.95283134,10,1450,24,259,310,121,477,453,480.387207,68,286
130624,-66.70833334,48.95283134,11,1359,27,261,309,114,469,421,478.664032,70,282
130680,-64.375,48.95283134,19,1188,34,263,315,121,436,435,500.8562317,69,270
131254,-77.83333334,48.91116468,50,1949,43,257,343,121,499,321,525.3664551,58,345
131379,-72.625,48.91116468,72,1775,70,262,352,124,460,297,544.6337891,61,346
131386,-72.33333334,48.91116468,79,1723,73,263,352,123,448,289,551.4793701,60,343
131509,-67.20833334,48.91116468,53,1299,40,261,325,123,430,372,537.0567627,65,287
131512,-67.08333334,48.91116468,25,1435,28,259,317,126,463,433,503.333313,66,289
131513,-67.04166667,48.91116468,17,1493,23,258,314,124,476,463,492.0306702,66,290
131514,-67,48.91116468,14,1507,23,258,313,126,481,469,486.7957458,67,289
131515,-66.95833334,48.91116468,10,1518,22,258,312,124,484,474,482.0206299,67,290
131520,-66.75,48.91116468,3,1475,22,259,308,117,488,467,472.0581055,68,286
131543,-65.79166667,48.91116468,1,1443,24,259,309,126,485,485,462.5736389,70,284
131546,-65.66666667,48.91116468,0,1546,19,257,304,124,506,546,448.5780334,70,285
131553,-65.375,48.91116468,0,1485,21,258,306,126,493,537,455.8131714,70,283
131573,-64.54166667,48.91116468,6,1339,25,260,310,127,464,510,477.2739868,69,275
132296,-71.79166667,48.86949801,49,1731,59,262,346,125,470,305,543.2386475,60,338
132403,-67.33333334,48.86949801,64,1324,39,261,328,123,425,373,543.2226563,64,289
132412,-66.95833334,48.86949801,3,1596,20,256,311,125,498,506,474.3702087,66,293
132416,-66.79166667,48.86949801,2,1544,21,257,309,117,497,492,470.3669739,68,289
132428,-66.29166667,48.86949801,0,1796,12,252,299,125,545,621,428.7738342,68,294
132429,-66.25,48.86949801,0,1734,14,253,300,125,536,593,435.0390625,69,292
132432,-66.125,48.86949801,0,1645,16,256,302,117,523,556,442.1409912,69,289
132465,-64.75,48.86949801,1,1407,23,259,308,129,481,539,468.6266785,69,278
133306,-67.08333334,48.82783134,21,1489,27,258,317,121,475,455,501.0647583,66,292
133322,-66.41666667,48.82783134,0,1690,15,255,303,124,527,565,445.5326538,68,292
133323,-66.375,48.82783134,0,1525,21,258,307,122,502,496,462.6944275,69,289
133327,-66.20833334,48.82783134,0,1656,16,255,304,125,524,558,444.8907471,69,291
133329,-66.125,48.82783134,0,1605,18,256,305,125,516,542,450.6385498,69,290
133330,-66.08333334,48.82783134,0,1498,23,258,308,120,500,494,461.6513062,69,288
133363,-64.70833334,48.82783134,11,1305,29,261,314,118,461,494,489.3564758,69,277
133364,-64.66666667,48.82783134,19,1235,35,263,318,120,448,460,501.4075928,69,276
